X,Y,Z,T
0.92917824,1.24586486,0.16138458,60.4375
1.09319401,1.17160034,0.16435623,60.4375
1.26454544,1.09501647,0.13951492,60.4375
1.42560959,1.02143859,0.16049576,60.4375
0.37948322,1.45623779,0.18650818,60.46875
0.5448103,1.38192749,0.17457581,60.46875
0.7066145,1.30821228,0.19047546,60.46875
0.87206459,1.23374939,0.18173218,60.46875
1.03437519,1.15977478,0.19831467,60.46875
1.19589901,1.08622741,0.21332932,60.46875
1.3655653,1.01013183,0.19672775,60.46875
1.5314045,0.93522644,0.19550324,60.46875
0.1721735,1.50970459,0.16273499,60.46875
0.33234692,1.43670654,0.17874527,60.46875
0.50185776,1.36108398,0.15002442,60.46875
0.66508865,1.28720092,0.15239716,60.46875
0.82707882,1.21333313,0.16977692,60.46875
0.99287129,1.13865661,0.16178131,60.46875
1.15740872,1.06401062,0.1689682,60.46875
1.32383919,0.98901367,0.16214752,60.46875
1.48313141,0.91574096,0.19696808,60.46875
0.12535381,1.49827575,0.1493187,60.46875
0.28464031,1.42547607,0.17040253,60.46875
0.45038033,1.3507843,0.16281891,60.46875
0.61288357,1.2770996,0.1678505,60.46875
0.77276039,1.20381164,0.19524765,60.46875
0.94485188,1.12745666,0.15345001,60.46875
1.1038723,1.05429077,0.18798065,60.46875
1.27270317,0.97860717,0.16902924,60.46875
1.43931389,0.90325927,0.16889954,60.46875
0.06602764,1.48686218,0.17906189,60.5
0.23110771,1.41275024,0.16454315,60.5
0.39794731,1.3378601,0.14987946,60.5
0.55762482,1.26492309,0.17071533,60.5
0.72171116,1.19059753,0.17501068,60.5
0.88818264,1.11575317,0.16357803,60.5
1.05456162,1.04064941,0.16053009,60.5
1.21906662,0.96620178,0.16287232,60.5
1.38073349,0.89230346,0.1858902,60.5
1.54533196,0.8177185,0.19052124,60.5
0.01532936,1.46916198,0.15916062,60.5
0.17794323,1.3956604,0.15961838,60.5
0.34134674,1.32165527,0.1640091,60.5
0.50753117,1.24710083,0.14863205,60.5
0.66467571,1.17459106,0.19081879,60.5
0.83564663,1.09861755,0.15437317,60.5
0.99781132,1.02470397,0.17204666,60.5
1.16990376,0.94822692,0.13565064,60.5
1.32656098,0.87574768,0.1833458,60.5
1.48557663,0.80282592,0.21329498,60.5
0.12812996,1.3827362,0.1628685,60.5
0.29229164,1.30851745,0.16304398,60.5
0.45443058,1.23500061,0.16905975,60.5
0.62099552,1.16006469,0.15899658,60.5
0.78628731,1.08561706,0.15124512,60.5
1.11740303,0.93606567,0.14742279,60.5
1.28113747,0.86160278,0.16011429,60.5
1.44062233,0.78849792,0.18854523,60.5
0.06564713,1.37580871,0.1620369,60.53125
0.23131943,1.30123901,0.15241623,60.53125
0.39179039,1.22814941,0.16739273,60.53125
0.55364704,1.1544342,0.1824646,60.53125
1.05831051,0.92820739,0.12667084,60.53125
1.21971798,0.85433959,0.15139389,60.53125
1.38350964,0.77999877,0.15914154,60.53125
1.54441071,0.70623779,0.18772125,60.53125
0.00078201,1.36315918,0.1392746,60.53125
0.16629601,1.28895568,0.12348175,60.53125
0.32500363,1.21612548,0.15621185,60.53125
0.50213623,1.13877868,0.08039093,60.53125
0.83476067,0.98905944,0.06544495,60.53125
0.99255467,0.9163208,0.10770416,60.53125
1.15627861,0.84213256,0.11432648,60.53125
1.32369614,0.76660156,0.11165238,60.53125
1.48811913,0.69209289,0.11886215,60.53125
0.10426331,1.28231811,0.13280487,60.5625
0.26276493,1.20974731,0.15984345,60.5625
0.42694187,1.13548278,0.16202927,60.5625
0.59586811,1.06013488,0.13384628,60.5625
1.09244442,0.83578491,0.13240051,60.5625
1.25036907,0.76318359,0.16805649,60.5625
1.42007446,0.6869812,0.15421677,60.5625
0.04688072,1.27612304,0.13660812,60.5625
0.20670128,1.20323181,0.15490723,60.5625
0.37107372,1.1289215,0.15515518,60.5625
0.53372669,1.05520629,0.16068649,60.5625
1.20283699,0.75419616,0.11952973,60.5625
1.36195755,0.68096923,0.1563797,60.5625
1.53241921,0.60466003,0.1353302,60.5625
0.14025116,1.1941986,0.16873169,60.5625
0.30015755,1.12135314,0.18592453,60.5625
0.46178532,1.04779052,0.20190811,60.5625
0.62507916,0.97398376,0.20293427,60.5625
1.29100418,0.67407226,0.17679978,60.5625
1.45534897,0.59944152,0.18824005,60.5625
0.08600426,1.18827819,0.14371872,60.59375
0.25016117,1.114151,0.14540863,60.59375
0.41081333,1.04113769,0.16088486,60.59375
0.57873154,0.96594238,0.14496994,60.59375
0.74710083,0.89073181,0.12347794,60.59375
0.805933,0.8451538,0.66871262,60.59375
1.08004761,0.74084472,0.11468125,60.59375
1.24439716,0.66627502,0.12704468,60.59375
1.40442085,0.59312439,0.15451813,60.59375
0.02533436,1.18296814,0.13320923,60.59375
0.18523598,1.10983276,0.15906143,60.59375
0.35065651,1.03552246,0.14691925,60.59375
0.52025128,0.95979309,0.12185288,60.59375
0.68865872,0.8844757,0.1004982,60.59375
0.74190426,0.84014892,0.6786499,60.59375
0.75183296,0.83744812,0.62768936,60.59375
1.18124962,0.66116333,0.12486267,60.59375
1.33525372,0.58969116,0.18039703,60.59375
1.50870896,0.51240539,0.15106201,60.59375
0.12210751,1.10244751,0.16199494,60.59375
0.28409863,1.02886962,0.17524719,60.59375
0.44759274,0.95509338,0.17473602,60.59375
0.61484146,0.8800354,0.16259384,60.59375
0.77449703,0.80717468,0.18585205,60.59375
0.83276463,0.76197814,0.72676087,60.59375
0.84258652,0.75926208,0.67730713,60.59375
1.00374699,0.68637084,0.68196106,60.59375
1.43545056,0.50859069,0.19382095,60.59375
0.07755852,1.09222412,0.15797043,60.625
0.24096966,1.01831054,0.16318512,60.625
0.40102387,0.94544982,0.18206024,60.625
0.56987667,0.86997985,0.16176605,60.625
0.73236752,0.7963562,0.17070389,60.625
0.80368328,0.747406,0.64959335,60.625
0.94675827,0.67955017,0.74446106,60.625
1.23086357,0.57165527,0.16552734,60.625
1.3957777,0.49713134,0.16926193,60.625
0.03139782,1.08613586,0.16054916,60.625
0.19847298,1.01152038,0.13755798,60.625
0.35929966,0.93815612,0.15954971,60.625
0.52171421,0.86457824,0.16688156,60.625
0.69613457,0.78753662,0.11935043,60.625
0.74973393,0.74334716,0.68543244,60.625
0.76264286,0.73983764,0.61964798,60.625
1.02748871,0.638031,0.11740112,60.625
1.19032765,0.56408691,0.12994766,60.625
1.35716534,0.48872375,0.13158798,60.625
1.5205555,0.41452026,0.14469528,60.625
0.13694668,1.00500488,0.13594055,60.65625
0.29957676,0.93122863,0.14636231,60.65625
0.46733475,0.85632324,0.1232872,60.65625
0.63064575,0.78222656,0.13442612,60.65625
0.7950306,0.70800781,0.13506317,60.65625
0.96863461,0.63095092,0.09818268,60.65625
1.12805367,0.55796814,0.12757492,60.65625
1.2886591,0.48442077,0.15738297,60.65625
1.45586395,0.40917968,0.15107346,60.65625
0.07985401,1.00056457,0.15882111,60.65625
0.24779797,0.92556762,0.13856888,60.65625
0.41219998,0.85159301,0.13468552,60.65625
0.58036423,0.77632141,0.11933518,60.65625
0.74602509,0.701828,0.11399078,60.65625
0.90782929,0.62811279,0.13566971,60.65625
1.06924248,0.55471801,0.15371704,60.65625
1.23955345,0.47854614,0.13648987,60.65625
1.40311813,0.40440368,0.1476326,60.65625
0.0348959,0.99583435,0.14265442,60.65625
0.19983101,0.9215393,0.14031983,60.65625
0.36555767,0.84721374,0.12835693,60.65625
0.53107357,0.77262878,0.12672043,60.65625
0.69868088,0.69764709,0.10975266,60.65625
0.86205864,0.62348938,0.12339783,60.65625
1.02837467,0.54869079,0.11744309,60.65625
1.18684197,0.47579956,0.1574173,60.65625
1.35683346,0.3998413,0.13768768,60.65625
1.52163315,0.3250885,0.14978409,60.65625
0.13922119,0.91940307,0.15061951,60.6875
0.30155373,0.84596252,0.15598297,60.6875
0.46774197,0.77122497,0.14912033,60.6875
0.6381855,0.69551086,0.11621475,60.6875
0.80511189,0.62039184,0.11070633,60.6875
0.96226883,0.54808044,0.14976883,60.6875
1.13335323,0.47169494,0.12737656,60.6875
1.29698372,0.39750671,0.13734055,60.6875
1.46717072,0.32118225,0.12424851,60.6875
0.08462525,0.91899108,0.14846802,60.6875
0.24338913,0.84620666,0.18121338,60.6875
0.41171932,0.77122497,0.15569306,60.6875
0.57252789,0.69787597,0.17874146,60.6875
0.73678208,0.62382507,0.17847443,60.6875
0.90368843,0.54875183,0.17309952,60.6875
1.06251717,0.47605896,0.20301437,60.6875
1.23501015,0.39930725,0.17464066,60.6875
1.39704323,0.3256073,0.19220352,60.6875
0.04021549,0.91839599,0.16053772,60.71875
0.20520401,0.84439086,0.15016937,60.71875
0.37044525,0.76997375,0.14760971,60.71875
0.53188133,0.6967163,0.16060639,60.71875
