X,Y,Z
1.329155,1.302808,0.422842
1.359704,1.3084,0.132199
1.187599,1.243588,0.434729
1.193827,1.244643,0.372091
1.048027,1.184734,0.427864
1.052154,1.18537,0.383842
0.932917,1.129275,0.145119
0.934705,1.12952,0.124814
0.793395,1.070002,0.120701
0.79438,1.070117,0.10875
0.651258,1.010462,0.129641
0.651912,1.010524,0.121123
0.510025,0.951048,0.128463
0.510503,0.951081,0.121736
0.369173,0.891658,0.121786
0.369173,0.891658,0.121786
2.671368,1.917764,0.079174
2.523052,1.855927,0.103446
2.52918,1.857528,0.063168
2.375651,1.794422,0.125488
2.38229,1.796115,0.080135
2.196712,1.725177,0.375216
2.239774,1.735859999,0.069026
2.089315,1.673704,0.117215
2.095463,1.675183,0.071635
1.945488,1.613252,0.120696
1.950286,1.614368,0.083548
1.801413,1.552789,0.127969
1.805782,1.553766999,0.092576
1.658661,1.49266,0.126089
1.662848,1.493557,0.09052
1.513303,1.43207,0.150354
1.516706,1.432763,0.119974
1.372087,1.372404,0.140894
1.375335,1.373027,0.110344
1.228469,1.312282,0.154277
1.23102,1.312737999,0.128927
1.088078,1.252805,0.138351
1.091124,1.253305,0.10627
0.923197,1.189661,0.39505
0.949193,1.193507,0.103785
0.805413,1.133503,0.124801
0.806836,1.133687,0.107774
0.663737,1.073902,0.126029
0.664389,1.073973,0.11766
0.522003,1.014303,0.12834
0.522619,1.014355,0.119817
0.380833,0.954717,0.121412
0.381172,0.954735,0.116327
2.687121,1.984619,0.072565
2.537928,1.922509,0.103875
2.54179,1.923541,0.078708
2.394888,1.862108,0.097843
2.400336,1.863531,0.060946
2.249243,1.801071,0.111309
2.254485,1.802406,0.07438
2.104789,1.740397,0.118938
2.108913,1.741419,0.088656
1.960737,1.679870999,0.125608
1.965795,1.681085,0.086833
1.817256,1.619524,0.129677
1.820631,1.620306,0.102618
1.673699,1.559196,0.135893
1.676905,1.559909,0.10896
1.53054,1.49899,0.140235
1.533796,1.499682,0.111499
1.38862,1.439112,0.136318
1.391169,1.439625,0.112626
1.247273,1.379352,0.127224
1.248991,1.379677,0.110376
1.104751,1.319441,0.132663
1.106545,1.319756,0.114016
0.963193,1.259722,0.129051
0.96472,1.259966,0.112183
0.820447,1.19984,0.139664
0.821588,1.200002,0.126223
0.679709,1.140281,0.128225
0.680786,1.140412,0.114629
0.537425,1.080589,0.138652
0.538668,1.080711,0.121761
0.396936,1.021114,0.126405
0.398206,1.021206,0.10771
2.840048,2.107584,0.072323
2.685957,2.043919,0.129732
2.692139,2.045636,0.09114
2.541313,1.982995,0.133206
2.547027,1.984552,0.096203
2.39785,1.922449,0.131455
2.403356,1.923917,0.094417
2.255369,1.862186,0.124443
2.260901,1.863626,0.085739
2.108552,1.800792,0.14772
2.112013,1.80167,0.122489
1.966538,1.740697999,0.139497
1.970307,1.741625,0.110828
1.82307,1.680293,0.144424
1.826453,1.681098999,0.117518
1.68089,1.620223,0.140343
1.683925,1.620918999,0.115052
1.537276,1.559859999,0.149712
1.539982,1.560454,0.126042
1.395824,1.500038,0.143084
1.398025,1.500498,0.12282
1.253521,1.44009,0.146498
1.255608,1.440501,0.126224
1.112068,1.380373,0.144462
1.113881,1.380706999,0.125817
0.970032,1.320574,0.149482
0.971741,1.320863,0.130826
0.83038,1.261197,0.129319
0.830816,1.261263,0.124242
0.68808,1.201451,0.141457
0.688632,1.201524,0.134584
0.546993,1.141916,0.140643
0.548008,1.142029,0.12704
0.406031,1.0824,0.138367
0.406268,1.08242,0.134928
2.847126,2.16519,0.081314
2.700656,2.103588,0.092579
2.551265,2.04122,0.124511
2.557797,2.043026,0.082484
2.40753,1.980479,0.122819
2.414336,1.982323,0.077344
2.262524,1.919436,0.131433
2.267368,1.920718,0.097777
2.1181,1.858607,0.138667
2.122775,1.859814,0.104833
1.974013,1.797887,0.144479
1.978478,1.799008,0.110765
1.833153,1.738048,0.129002
1.836562,1.738877,0.102098
1.6899,1.677682,0.134862
1.693788,1.678595,0.102732
1.545512,1.617106,0.152546
1.548242,1.617721,0.128877
1.404052,1.55724,0.147076
1.406273,1.557717999,0.126817
1.262219,1.497332,0.146727
1.264853,1.497869,0.121387
1.1222,1.437791999,0.128823
1.124032,1.438142,0.11018
0.977247,1.377348999,0.162878
0.979126,1.377681,0.142582
0.836968,1.317805,0.149687
0.838149,1.317995,0.136098
0.696405,1.258204,0.139214
0.696818,1.258262,0.134135
0.556142,1.198671,0.126245
0.55665,1.198733,0.119518
0.413247,1.138925999,0.152792
0.413844,1.138984,0.14427
0.273025,1.079532,0.145152
0.273362,1.079555,0.139915
2.87744,2.227213,0.046709
2.727205,2.164457,0.078301
2.57468,2.101153,0.128697
2.582045,2.103216,0.081799
2.430712,2.040313,0.127587
2.43479,2.041433,0.100636
2.288439,1.980009,0.118453
2.294544,1.98165,0.076506
2.142776,1.918833,0.134298
2.147236,1.920003,0.102401
1.998459,1.858043999,0.142057
2.002978,1.859199,0.108353
1.856478,1.797909,0.134909
1.860808,1.798982,0.101175
1.713681,1.73761,0.135852
1.717402,1.738502,0.105514
1.571387,1.677451,0.133579
1.573963,1.678046,0.111551
